Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
kia,rio,2020,4.2,diesel,manual,289944,3,5,8501
chevrolet,malibu,2012,2.0,hybrid,automatic,5356,2,3,12092
mercedes,gla,2020,4.2,diesel,automatic,231440,4,2,11171
audi,q5,2023,2.0,electric,manual,160971,2,1,11780
volkswagen,golf,2003,2.6,hybrid,semi-automatic,286618,3,3,2867
toyota,camry,2007,2.7,petrol,automatic,157889,4,4,7242
honda,civic,2010,3.4,electric,automatic,139584,3,1,11208
kia,sportage,2001,4.7,electric,semi-automatic,157495,2,2,7950
kia,sportage,2014,2.6,hybrid,manual,98700,3,4,9926
toyota,rav4,2005,3.1,petrol,manual,107724,2,5,6545
bmw,5 series,2013,1.3,hybrid,automatic,296824,2,3,5863
volkswagen,golf,2009,4.5,hybrid,manual,42795,4,3,11444
honda,cr-v,2007,4.8,hybrid,automatic,132875,3,4,10842
hyundai,elantra,2004,2.3,hybrid,semi-automatic,188996,2,1,4820
volkswagen,golf,2003,2.4,petrol,automatic,145921,5,2,5981
volkswagen,golf,2007,3.2,diesel,automatic,60103,2,1,9697
hyundai,elantra,2017,2.9,electric,automatic,38133,5,2,14837
volkswagen,tiguan,2006,4.5,electric,manual,41161,2,2,11576
kia,rio,2000,3.4,diesel,semi-automatic,257427,3,3,2351
mercedes,gla,2021,1.5,petrol,manual,34640,2,1,11207
chevrolet,equinox,2018,1.8,hybrid,automatic,21261,2,1,13374
toyota,rav4,2000,4.6,hybrid,semi-automatic,41814,2,2,8863
toyota,rav4,2003,2.0,electric,manual,136662,5,4,6266
ford,explorer,2006,2.8,hybrid,manual,99921,4,2,7701
mercedes,gla,2016,3.9,petrol,semi-automatic,19868,3,4,12402
kia,sportage,2011,1.8,diesel,automatic,92188,2,4,8856
audi,a3,2022,3.3,electric,manual,79350,5,3,14413
bmw,3 series,2017,2.3,electric,semi-automatic,142701,5,3,10645
bmw,3 series,2020,4.7,electric,semi-automatic,210767,3,3,12584
chevrolet,equinox,2013,1.9,hybrid,automatic,121816,4,4,9963
hyundai,tucson,2007,3.9,electric,automatic,213643,4,5,9327
volkswagen,passat,2008,3.5,electric,manual,88381,3,1,10232
chevrolet,impala,2017,2.3,petrol,automatic,183619,5,1,9327
mercedes,gla,2013,3.3,electric,semi-automatic,80184,3,5,11696
toyota,corolla,2010,3.2,diesel,automatic,132454,4,4,9150
kia,optima,2005,4.5,petrol,manual,18590,2,5,9728
audi,q5,2013,3.5,hybrid,semi-automatic,263411,4,1,7231
kia,sportage,2000,1.4,electric,manual,167050,5,4,4159
ford,fiesta,2017,2.2,hybrid,manual,277363,2,4,6852
audi,a4,2004,1.0,petrol,manual,94415,2,1,4411
ford,focus,2004,1.2,electric,manual,93645,3,3,6627
bmw,5 series,2007,4.9,petrol,manual,120491,2,1,8690
honda,civic,2000,3.9,hybrid,manual,56020,2,4,7879
toyota,rav4,2003,3.9,electric,automatic,131868,5,3,9762
audi,q5,2023,3.6,electric,manual,238306,5,2,11833
ford,focus,2011,2.3,diesel,automatic,255372,5,5,6092
audi,a4,2009,2.4,diesel,manual,263797,2,5,3924
hyundai,elantra,2006,2.8,electric,manual,110280,3,3,8494
audi,a3,2009,1.2,electric,automatic,111448,5,1,9271
mercedes,gla,2013,1.9,petrol,manual,205005,2,2,5799
mercedes,e-class,2004,4.9,petrol,semi-automatic,175273,3,5,6694
mercedes,gla,2022,3.8,diesel,manual,191466,3,2,10670
ford,focus,2008,1.8,electric,semi-automatic,280713,3,1,4685
honda,civic,2015,2.6,electric,semi-automatic,66777,5,1,11864
kia,optima,2020,3.2,electric,manual,88070,3,5,13538
bmw,3 series,2011,2.9,electric,semi-automatic,281020,3,5,6679
chevrolet,impala,2017,1.8,diesel,semi-automatic,22175,2,2,10556
volkswagen,passat,2003,2.0,electric,manual,287728,3,3,3245
hyundai,sonata,2007,3.6,electric,automatic,102907,3,3,11241
honda,civic,2005,2.4,petrol,automatic,60316,2,5,8293
toyota,camry,2008,1.3,petrol,automatic,188097,2,2,5538
ford,fiesta,2004,4.0,diesel,automatic,85348,3,3,9093
ford,focus,2015,4.8,electric,automatic,100603,4,2,14887
mercedes,c-class,2007,2.7,hybrid,manual,147310,5,2,6953
mercedes,gla,2011,4.0,diesel,manual,140263,4,5,8594
volkswagen,passat,2005,3.2,electric,semi-automatic,155550,5,4,7689
volkswagen,golf,2000,4.0,hybrid,manual,237232,4,5,4355
ford,fiesta,2002,4.0,hybrid,semi-automatic,272351,3,3,4252
kia,optima,2008,4.6,petrol,manual,164879,2,4,7802
hyundai,tucson,2018,2.8,petrol,manual,160349,4,3,9093
hyundai,elantra,2007,1.5,diesel,manual,30793,5,1,7084
bmw,3 series,2019,1.9,electric,automatic,6745,2,1,15065
toyota,camry,2007,4.9,hybrid,manual,23217,2,4,11635
kia,sportage,2017,2.7,hybrid,automatic,242456,2,5,9550
hyundai,sonata,2017,1.3,hybrid,automatic,152123,5,5,9957
honda,cr-v,2022,3.4,diesel,automatic,248894,5,2,10622
mercedes,gla,2007,2.3,electric,manual,76458,3,5,8970
bmw,x5,2017,3.9,hybrid,semi-automatic,2020,3,2,14059
hyundai,sonata,2018,2.0,hybrid,automatic,121567,4,4,11568
volkswagen,golf,2023,3.5,petrol,semi-automatic,139477,2,5,11710
ford,fiesta,2007,4.5,electric,manual,53088,3,2,11638
volkswagen,tiguan,2020,1.7,petrol,automatic,195565,2,5,9388
audi,a4,2004,4.8,hybrid,semi-automatic,141850,3,2,8263
honda,civic,2020,4.6,petrol,manual,191397,3,4,10872
hyundai,tucson,2015,1.6,electric,manual,259533,2,4,7009
mercedes,c-class,2015,4.1,petrol,automatic,197249,3,1,10255
volkswagen,passat,2007,3.8,electric,manual,272609,4,5,6547
ford,focus,2013,1.1,diesel,manual,294516,4,1,3209
kia,sportage,2001,2.9,diesel,manual,258813,4,5,2123
toyota,corolla,2014,4.1,petrol,automatic,17100,5,5,13558
kia,optima,2017,4.6,diesel,manual,197307,3,1,9853
bmw,x5,2007,4.2,petrol,automatic,129851,3,4,9302
mercedes,e-class,2011,1.8,diesel,semi-automatic,261247,3,4,3975
audi,q5,2016,2.5,electric,semi-automatic,121855,5,5,10962
bmw,3 series,2011,2.6,petrol,manual,107928,4,2,7841
volkswagen,passat,2011,4.7,petrol,automatic,203960,5,3,9520
bmw,5 series,2009,3.0,electric,manual,17260,5,5,11454
audi,a3,2022,3.8,electric,semi-automatic,275109,2,5,10997
toyota,corolla,2016,2.8,hybrid,semi-automatic,203314,3,3,8633
toyota,corolla,2014,2.8,hybrid,automatic,190214,5,2,9795
ford,explorer,2013,5.0,electric,automatic,188195,5,3,12736
audi,a4,2010,2.0,hybrid,manual,228204,3,4,5535
bmw,5 series,2001,2.3,diesel,semi-automatic,66264,2,1,5374
toyota,camry,2022,4.5,electric,semi-automatic,162696,4,2,13946
chevrolet,malibu,2005,2.2,diesel,manual,191462,2,4,3970
honda,accord,2001,4.0,diesel,manual,8958,5,1,8220
hyundai,elantra,2012,2.6,hybrid,manual,11213,5,5,11075
honda,accord,2003,3.8,electric,semi-automatic,236022,3,2,6079
chevrolet,equinox,2019,3.9,hybrid,semi-automatic,13333,5,1,14433
mercedes,c-class,2023,4.6,electric,semi-automatic,274137,2,3,12117
volkswagen,passat,2010,3.4,diesel,manual,8662,4,3,10326
bmw,3 series,2018,2.3,electric,semi-automatic,99243,3,3,11815
ford,fiesta,2013,3.5,hybrid,semi-automatic,167809,2,3,9143
honda,cr-v,2018,3.0,hybrid,semi-automatic,180938,4,3,9881
